epoch,train_loss,val_loss,lr
1,1.77102,1.298889,0.00015603
2,1.247728,1.209984,0.0003
3,1.1442,1.179352,0.00029772
4,1.102165,1.16216,0.00029095
5,1.078569,1.150765,0.0002799
6,1.062438,1.143457,0.0002649
7,1.051062,1.138996,0.00024641
8,1.041685,1.141152,0.00022499
9,1.033989,1.142114,0.0002013
10,1.027692,1.131205,0.00017604
11,1.02211,1.130303,0.00014999
12,1.017296,1.133526,0.00012395
13,1.013079,1.127559,9.869e-05
14,1.009461,1.1259,7.499e-05
15,1.006485,1.125827,5.358e-05
16,1.004201,1.123111,3.509e-05
17,1.002229,1.125111,2.009e-05
18,1.00103,1.125453,9.04e-06
19,0.99999,1.125453,2.28e-06
20,0.999988,1.125589,0.0
